feature_name,mean_abs_shap,mean_signed_shap,importance_share,rank
categorical__order_country_normalized_kazajistn,0.0,0.0,0.0,303
categorical__order_country_normalized_kirguistn,0.0,0.0,0.0,304
categorical__order_country_normalized_kuwait,0.0,0.0,0.0,305
categorical__order_country_normalized_laos,0.0,0.0,0.0,306
categorical__order_country_normalized_lbano,0.0,0.0,0.0,307
categorical__order_country_normalized_lesoto,0.0,0.0,0.0,308
categorical__order_country_normalized_liberia,0.0,0.0,0.0,309
categorical__order_country_normalized_libia,0.0,0.0,0.0,310
categorical__order_country_normalized_lituania,0.0,0.0,0.0,311
categorical__order_country_normalized_luxemburgo,0.0,0.0,0.0,312
categorical__order_country_normalized_macedonia,0.0,0.0,0.0,313
categorical__order_country_normalized_madagascar,0.0,0.0,0.0,314
categorical__order_country_normalized_mali,0.0,0.0,0.0,315
categorical__order_country_normalized_martinica,0.0,0.0,0.0,316
categorical__order_country_normalized_mauritania,0.0,0.0,0.0,317
categorical__order_country_normalized_moldavia,0.0,0.0,0.0,318
categorical__order_country_normalized_mongolia,0.0,0.0,0.0,319
categorical__order_country_normalized_montenegro,0.0,0.0,0.0,320
categorical__order_country_normalized_mxico,0.0,0.0,0.0,321
categorical__order_country_normalized_myanmar_birmania,0.0,0.0,0.0,322
categorical__order_country_normalized_namibia,0.0,0.0,0.0,323
categorical__order_country_normalized_nepal,0.0,0.0,0.0,324
categorical__order_country_normalized_nger,0.0,0.0,0.0,325
categorical__order_country_normalized_nicaragua,0.0,0.0,0.0,326
categorical__order_country_normalized_nigeria,0.0,0.0,0.0,327
categorical__order_country_normalized_noruega,0.0,0.0,0.0,328
categorical__order_country_normalized_nueva_zelanda,0.0,0.0,0.0,329
categorical__order_country_normalized_omn,0.0,0.0,0.0,330
categorical__order_country_normalized_pakistn,0.0,0.0,0.0,331
categorical__order_country_normalized_papa_nueva_guinea,0.0,0.0,0.0,332
categorical__order_country_normalized_paraguay,0.0,0.0,0.0,333
categorical__order_country_normalized_pases_bajos,0.0,0.0,0.0,334
categorical__order_country_normalized_per,0.0,0.0,0.0,335
categorical__order_country_normalized_polonia,0.0,0.0,0.0,336
categorical__order_country_normalized_portugal,0.0,0.0,0.0,337
categorical__order_country_normalized_qatar,0.0,0.0,0.0,338
categorical__order_country_normalized_reino_unido,0.0,0.0,0.0,339
categorical__order_country_normalized_repblica_centroafricana,0.0,0.0,0.0,340
categorical__order_country_normalized_repblica_checa,0.0,0.0,0.0,341
categorical__order_country_normalized_repblica_de_gambia,0.0,0.0,0.0,342
categorical__order_country_normalized_repblica_del_congo,0.0,0.0,0.0,343
categorical__order_country_normalized_repblica_dominicana,0.0,0.0,0.0,344
categorical__order_country_normalized_ruanda,0.0,0.0,0.0,345
categorical__order_country_normalized_rusia,0.0,0.0,0.0,346
categorical__order_country_normalized_senegal,0.0,0.0,0.0,347
categorical__order_country_normalized_shara_occidental,0.0,0.0,0.0,348
categorical__order_country_normalized_sierra_leona,0.0,0.0,0.0,349
categorical__order_country_normalized_singapur,0.0,0.0,0.0,350
categorical__order_country_normalized_siria,0.0,0.0,0.0,351
categorical__order_country_normalized_somalia,0.0,0.0,0.0,352
categorical__order_country_normalized_sri_lanka,0.0,0.0,0.0,353
categorical__order_country_normalized_suazilandia,0.0,0.0,0.0,354
categorical__order_country_normalized_sudafrica,0.0,0.0,0.0,355
categorical__order_country_normalized_sudn,0.0,0.0,0.0,356
categorical__order_country_normalized_sudn_del_sur,0.0,0.0,0.0,357
categorical__order_country_normalized_suiza,0.0,0.0,0.0,358
categorical__order_country_normalized_surinam,0.0,0.0,0.0,359
categorical__order_country_normalized_tailandia,0.0,0.0,0.0,360
categorical__order_country_normalized_taiwn,0.0,0.0,0.0,361
categorical__order_country_normalized_tanzania,0.0,0.0,0.0,362
categorical__order_country_normalized_tayikistn,0.0,0.0,0.0,363
categorical__order_country_normalized_tnez,0.0,0.0,0.0,364
categorical__order_country_normalized_togo,0.0,0.0,0.0,365
categorical__order_country_normalized_trinidad_y_tobago,0.0,0.0,0.0,366
categorical__order_country_normalized_turkmenistn,0.0,0.0,0.0,367
categorical__order_country_normalized_turqua,0.0,0.0,0.0,368
categorical__order_country_normalized_ucrania,0.0,0.0,0.0,369
categorical__order_country_normalized_uganda,0.0,0.0,0.0,370
categorical__order_country_normalized_uruguay,0.0,0.0,0.0,371
categorical__order_country_normalized_uzbekistn,0.0,0.0,0.0,372
categorical__order_country_normalized_venezuela,0.0,0.0,0.0,373
categorical__order_country_normalized_vietnam,0.0,0.0,0.0,374
categorical__order_country_normalized_yemen,0.0,0.0,0.0,375
categorical__order_country_normalized_yibuti,0.0,0.0,0.0,376
categorical__order_country_normalized_zambia,0.0,0.0,0.0,377
categorical__order_country_normalized_zimbabue,0.0,0.0,0.0,378
categorical__order_region_normalized_canada,0.0,0.0,0.0,379
categorical__order_region_normalized_caribbean,0.0,0.0,0.0,380
categorical__order_region_normalized_central_africa,0.0,0.0,0.0,381
categorical__order_region_normalized_central_asia,0.0,0.0,0.0,382
categorical__order_region_normalized_east_africa,0.0,0.0,0.0,383
categorical__order_region_normalized_east_of_usa,0.0,0.0,0.0,384
categorical__order_region_normalized_north_africa,0.0,0.0,0.0,385
categorical__order_region_normalized_northern_europe,0.0,0.0,0.0,386
categorical__order_region_normalized_south_of_usa,0.0,0.0,0.0,387
categorical__order_region_normalized_southeast_asia,0.0,0.0,0.0,388
categorical__order_region_normalized_southern_africa,0.0,0.0,0.0,389
categorical__order_region_normalized_southern_europe,0.0,0.0,0.0,390
categorical__order_region_normalized_us_center,0.0,0.0,0.0,391
categorical__order_region_normalized_west_africa,0.0,0.0,0.0,392
categorical__order_region_normalized_west_asia,0.0,0.0,0.0,393
categorical__order_state_normalized_abia,0.0,0.0,0.0,394
categorical__order_state_normalized_abruzos,0.0,0.0,0.0,395
categorical__order_state_normalized_aceh,0.0,0.0,0.0,396
categorical__order_state_normalized_acre,0.0,0.0,0.0,397
categorical__order_state_normalized_adamaoua,0.0,0.0,0.0,398
categorical__order_state_normalized_adana,0.0,0.0,0.0,399
categorical__order_state_normalized_adiyaman,0.0,0.0,0.0,400
categorical__order_state_normalized_afyonkarahisar,0.0,0.0,0.0,401
categorical__order_state_normalized_aichi,0.0,0.0,0.0,402
categorical__order_state_normalized_ajmn,0.0,0.0,0.0,403
categorical__order_state_normalized_akmola,0.0,0.0,0.0,404
categorical__order_state_normalized_aksaray,0.0,0.0,0.0,405
categorical__order_state_normalized_akwa_ibom,0.0,0.0,0.0,406
categorical__order_state_normalized_al_asimah,0.0,0.0,0.0,407
