model_name,feature_name,mean_abs_shap_value,mean_signed_shap_value,input_slice,sample_size,final_test_used,importance_share,rank
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_tx,2.739114,-2.739114,development_inner_validation,5000,False,0.0017641457,86
ao2_gradient_boosting_regressor,categorical__order_state_normalized_dinamarca_meridional,2.7327745,-2.4574652,development_inner_validation,5000,False,0.0017600626,87
ao2_gradient_boosting_regressor,categorical__order_state_normalized_guyarat,2.6846116,-2.6846116,development_inner_validation,5000,False,0.001729043,88
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_az,2.5349069,-2.5349069,development_inner_validation,5000,False,0.0016326247,89
ao2_gradient_boosting_regressor,categorical__order_country_normalized_jordania,2.521789,-2.521789,development_inner_validation,5000,False,0.001624176,90
ao2_gradient_boosting_regressor,categorical__order_state_normalized_papua,2.478378,-2.478378,development_inner_validation,5000,False,0.0015962169,91
ao2_gradient_boosting_regressor,categorical__order_state_normalized_baki,2.3862147,-2.3862147,development_inner_validation,5000,False,0.0015368584,92
ao2_gradient_boosting_regressor,categorical__order_state_normalized_lima_ciudad,2.371661,1.0639853,development_inner_validation,5000,False,0.001527485,93
ao2_gradient_boosting_regressor,categorical__order_state_normalized_nueva_jersey,2.3710032,-2.3710032,development_inner_validation,5000,False,0.0015270613,94
ao2_gradient_boosting_regressor,categorical__order_state_normalized_lodz,2.3306632,-2.3306632,development_inner_validation,5000,False,0.0015010801,95
ao2_gradient_boosting_regressor,categorical__order_state_normalized_murcia,2.3130636,-2.3130636,development_inner_validation,5000,False,0.001489745,96
ao2_gradient_boosting_regressor,categorical__order_country_normalized_belice,2.2844436,-2.2844436,development_inner_validation,5000,False,0.001471312,97
ao2_gradient_boosting_regressor,categorical__order_country_normalized_mali,2.1631598,-2.1631598,development_inner_validation,5000,False,0.0013931984,98
ao2_gradient_boosting_regressor,categorical__order_state_normalized_baha,2.1509633,-2.1509633,development_inner_validation,5000,False,0.0013853431,99
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_ny,2.143931,-2.143931,development_inner_validation,5000,False,0.0013808139,100
ao2_gradient_boosting_regressor,categorical__product_category_key_48_water_sports,2.141676,-2.141676,development_inner_validation,5000,False,0.0013793615,101
ao2_gradient_boosting_regressor,categorical__order_state_normalized_territorio_de_la_capital_federal,2.136808,-2.136808,development_inner_validation,5000,False,0.0013762262,102
ao2_gradient_boosting_regressor,categorical__Type_PAYMENT,2.0612266,-2.0612266,development_inner_validation,5000,False,0.0013275476,103
ao2_gradient_boosting_regressor,categorical__order_state_normalized_java_occidental,2.0495842,-2.0495842,development_inner_validation,5000,False,0.0013200492,104
ao2_gradient_boosting_regressor,categorical__Type_CASH,2.0446243,2.0446243,development_inner_validation,5000,False,0.0013168547,105
ao2_gradient_boosting_regressor,categorical__order_state_normalized_emiliaromaa,2.0034192,-2.0034192,development_inner_validation,5000,False,0.0012903162,106
ao2_gradient_boosting_regressor,categorical__product_category_key_12_boxing_&_mma,1.9340012,-1.9340012,development_inner_validation,5000,False,0.0012456072,107
ao2_gradient_boosting_regressor,categorical__order_state_normalized_maryland,1.8821808,-1.8821808,development_inner_validation,5000,False,0.0012122318,108
ao2_gradient_boosting_regressor,binary_flags__is_same_day_or_next_day_shipping,1.8791994,-1.8791994,development_inner_validation,5000,False,0.0012103117,109
ao2_gradient_boosting_regressor,categorical__order_state_normalized_carolina_del_sur,1.8731298,-1.8731298,development_inner_validation,5000,False,0.0012064026,110
ao2_gradient_boosting_regressor,categorical__order_region_normalized_southern_europe,1.8230659,1.7016588,development_inner_validation,5000,False,0.0011741584,111
ao2_gradient_boosting_regressor,categorical__order_state_normalized_overijssel,1.8223137,-1.5957185,development_inner_validation,5000,False,0.001173674,112
ao2_gradient_boosting_regressor,categorical__order_state_normalized_amn,1.8206246,-1.119244,development_inner_validation,5000,False,0.0011725861,113
ao2_gradient_boosting_regressor,categorical__order_state_normalized_oklahoma,1.8100848,-1.8100848,development_inner_validation,5000,False,0.0011657979,114
ao2_gradient_boosting_regressor,categorical__order_country_normalized_paraguay,1.7321695,-1.7321695,development_inner_validation,5000,False,0.001115616,115
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_or,1.72301,-1.72301,development_inner_validation,5000,False,0.0011097167,116
ao2_gradient_boosting_regressor,categorical__order_state_normalized_masaya,1.7028292,1.7028292,development_inner_validation,5000,False,0.0010967192,117
ao2_gradient_boosting_regressor,categorical__customer_state_normalized_nv,1.6529797,-1.562694,development_inner_validation,5000,False,0.0010646132,118
ao2_gradient_boosting_regressor,categorical__order_state_normalized_guayas,1.5686271,-1.5567763,development_inner_validation,5000,False,0.0010102853,119
ao2_gradient_boosting_regressor,categorical__order_state_normalized_mato_grosso,1.55437,-1.55437,development_inner_validation,5000,False,0.001001103,120
ao2_gradient_boosting_regressor,categorical__order_state_normalized_benguela,1.503626,-1.503626,development_inner_validation,5000,False,0.00096842094,121
ao2_gradient_boosting_regressor,categorical__order_state_normalized_ouest,1.4970857,-1.4970857,development_inner_validation,5000,False,0.0009642086,122
ao2_gradient_boosting_regressor,categorical__product_department_key_4_apparel,1.4966913,1.4409933,development_inner_validation,5000,False,0.0009639546,123
ao2_gradient_boosting_regressor,categorical__shipping_speed_tier_standard,1.4892781,-1.1104888,development_inner_validation,5000,False,0.00095918006,124
ao2_gradient_boosting_regressor,categorical__order_state_normalized_diyarbakir,1.4751042,-1.4751042,development_inner_validation,5000,False,0.0009500513,125
ao2_gradient_boosting_regressor,binary_flags__order_is_weekend,1.4670423,-0.13816448,development_inner_validation,5000,False,0.00094485894,126
ao2_gradient_boosting_regressor,categorical__order_state_normalized_lagos,1.4299455,1.4299455,development_inner_validation,5000,False,0.00092096644,127
ao2_gradient_boosting_regressor,categorical__order_country_normalized_nigeria,1.4073681,-1.4073681,development_inner_validation,5000,False,0.00090642535,128
ao2_gradient_boosting_regressor,categorical__order_state_normalized_chubut,1.3451643,-0.839011,development_inner_validation,5000,False,0.00086636253,129
ao2_gradient_boosting_regressor,categorical__market_normalized_africa,1.3185836,1.3185836,development_inner_validation,5000,False,0.0008492431,130
ao2_gradient_boosting_regressor,categorical__order_state_normalized_illinois,1.3136001,-1.3136001,development_inner_validation,5000,False,0.0008460334,131
ao2_gradient_boosting_regressor,categorical__order_state_normalized_nusa_tenggara_oriental,1.3132834,-1.3132834,development_inner_validation,5000,False,0.0008458295,132
ao2_gradient_boosting_regressor,categorical__order_state_normalized_cross_river,1.2985393,-1.2985393,development_inner_validation,5000,False,0.0008363334,133
ao2_gradient_boosting_regressor,categorical__order_state_normalized_madrid,1.2929307,1.2929307,development_inner_validation,5000,False,0.0008327212,134
ao2_gradient_boosting_regressor,categorical__order_state_normalized_cerdea,1.2370509,-1.2370509,development_inner_validation,5000,False,0.0007967313,135
ao2_gradient_boosting_regressor,categorical__order_state_normalized_fukui,1.2241567,-1.2045225,development_inner_validation,5000,False,0.0007884268,136
ao2_gradient_boosting_regressor,categorical__order_state_normalized_kentucky,1.1795602,-1.1795602,development_inner_validation,5000,False,0.00075970404,137
ao2_gradient_boosting_regressor,categorical__order_state_normalized_australia_del_sur,1.1455084,-1.1455084,development_inner_validation,5000,False,0.0007377728,138
ao2_gradient_boosting_regressor,categorical__order_state_normalized_puducherry,1.139505,-1.139505,development_inner_validation,5000,False,0.0007339062,139
ao2_gradient_boosting_regressor,categorical__order_country_normalized_venezuela,1.1267183,1.1267183,development_inner_validation,5000,False,0.00072567083,140
ao2_gradient_boosting_regressor,categorical__order_region_normalized_west_africa,1.1052431,1.1052431,development_inner_validation,5000,False,0.0007118396,141
